Fecha,Evento,Precio,Trend_Previo,Distancia_Pivot_P_%,1m_RSI,1m_MACD,1m_Stoch,1m_ADX,1m_BB_Ancho,1m_BB_Dist,5m_RSI,5m_MACD,5m_Stoch,5m_ADX,5m_BB_Ancho,5m_BB_Dist,15m_RSI,15m_MACD,15m_Stoch,15m_ADX,15m_BB_Ancho,15m_BB_Dist,1h_RSI,1h_MACD,1h_Stoch,1h_ADX,1h_BB_Ancho,1h_BB_Dist,4h_RSI,4h_MACD,4h_Stoch,4h_ADX,4h_BB_Ancho,4h_BB_Dist
2024-02-04,MAX,85.76,Bajista,0.012,32.1,-0.0662,17.83,27.76,0.53,-0.212,45.83,-0.0923,37.2,21.42,0.77,-0.133,47.66,-0.272,60.88,45.24,1.82,-0.021,46.57,-0.4432,82.85,40.19,3.73,-0.273,53.08,0.0643,81.9,18.0,4.29,1.158
2024-02-04,MIN,82.54,Bajista,-3.743,42.34,-0.0606,61.09,30.41,0.51,-0.136,36.68,-0.2103,50.57,39.83,0.9,-0.396,47.93,0.0252,53.54,27.22,2.73,0.261,58.13,-0.0318,47.17,19.82,2.76,0.796,56.8,0.6187,88.13,23.44,7.2,2.142
2024-02-05,MAX,85.93,Bajista,2.501,40.44,-0.0491,64.18,18.23,0.45,-0.117,47.16,-0.184,77.86,36.96,0.96,0.085,40.91,-0.2148,44.97,25.37,1.58,-0.533,58.14,-0.037,96.03,16.27,2.73,0.826,61.13,0.9173,77.21,28.2,8.72,2.966
2024-02-05,MIN,81.36,Bajista,-2.95,59.54,0.0612,65.35,22.56,0.65,0.255,62.73,0.078,100.0,16.59,0.81,0.453,72.3,0.2661,100.0,24.43,2.08,1.297,50.62,0.0074,57.96,16.97,2.7,-0.073,57.84,0.6523,77.59,24.38,7.21,2.204
2024-02-06,MAX,85.37,Alcista,1.853,33.64,-0.0837,20.02,39.81,0.52,-0.232,42.76,-0.1115,63.41,29.92,0.93,-0.152,37.4,-0.1778,6.08,21.39,1.58,-0.597,61.52,0.1765,95.57,21.83,3.14,1.45,53.74,0.9765,49.85,22.61,6.25,0.371
2024-02-06,MIN,82.46,Alcista,-1.619,62.14,-0.011,86.64,17.11,0.57,0.257,52.3,0.1257,2.07,17.66,0.74,-0.028,66.63,0.3044,88.39,24.52,1.86,0.796,45.61,-0.3325,42.91,27.6,3.58,-0.419,64.04,1.0736,74.47,24.62,6.79,2.601
2024-02-07,MAX,84.99,Alcista,1.062,37.93,-0.0822,46.94,43.21,0.48,-0.096,40.41,-0.1635,69.62,34.83,0.82,-0.159,30.12,-0.3221,3.2,39.4,1.53,-0.674,53.13,0.275,67.96,23.96,3.71,0.501,53.22,0.87,22.92,21.38,5.59,0.107
2024-02-07,MIN,82.22,Alcista,-2.232,46.66,0.0348,3.1,25.12,0.49,-0.149,73.54,0.2539,85.19,23.54,1.97,1.415,56.99,0.2714,68.2,32.18,1.88,0.343,52.92,0.3498,7.28,22.31,2.34,0.022,47.46,0.4534,0.36,20.62,4.2,-1.259
2024-02-08,MAX,86.71,Bajista,3.477,34.54,-0.1851,13.23,38.64,1.26,-0.361,45.65,-0.1142,65.5,25.18,1.04,-0.09,46.54,-0.0379,25.71,11.34,0.64,-0.101,52.69,0.3534,27.02,26.73,3.86,-0.143,61.69,0.8878,74.61,21.23,6.0,2.235
2024-02-08,MIN,84.01,Bajista,0.255,69.04,0.1829,69.16,48.62,1.17,0.234,63.1,0.1133,78.93,19.9,0.61,0.37,53.45,0.0203,27.24,26.52,1.01,-0.052,63.23,0.5177,77.93,25.44,3.21,1.331,60.33,0.4575,45.96,19.96,4.61,1.529
2024-02-09,MAX,89.88,Alcista,5.378,51.91,0.0117,85.39,13.94,0.55,0.109,36.68,-0.4916,44.79,41.07,3.94,-0.818,49.51,-0.1128,71.05,22.09,2.2,0.345,56.61,0.2053,78.16,16.84,2.89,0.531,60.0,0.8176,65.77,17.92,6.22,1.615
