Fecha_Cierre,Motivo,PnL_Final_%
2024-01-02 17:41:00,STOP LOSS 2%,-2.0
2024-01-05 00:26:00,CIERRE RUNNER (Trailing),2.36
2024-01-05 14:35:00,STOP LOSS 2%,-2.0
2024-01-09 12:56:00,STOP LOSS 2%,-2.0
2024-01-09 21:20:00,STOP LOSS 2%,-2.0
2024-01-10 01:12:00,CIERRE RUNNER (Trailing),2.5
2024-01-12 15:39:00,STOP LOSS 2%,-2.0
2024-01-16 03:11:00,CIERRE RUNNER (Trailing),2.6
2024-01-25 05:05:00,STOP LOSS 2%,-2.0
2024-01-25 15:45:00,STOP LOSS 2%,-2.0
2024-01-31 00:28:00,STOP LOSS 2%,-2.0
2024-02-07 15:08:00,STOP LOSS 2%,-2.0
2024-02-08 16:36:00,CIERRE RUNNER (Trailing),2.46
2024-02-09 14:16:00,CIERRE RUNNER (Trailing),4.44
2024-02-14 10:02:00,CIERRE RUNNER (Trailing),2.6
2024-02-16 06:47:00,CIERRE RUNNER (Trailing),2.96
2024-02-19 08:17:00,CIERRE RUNNER (Trailing),4.96
2024-02-20 09:47:00,STOP LOSS 2%,-2.0
2024-02-20 14:40:00,STOP LOSS 2%,-2.0
2024-02-23 08:49:00,STOP LOSS 2%,-2.0
2024-02-23 15:04:00,CIERRE RUNNER (Trailing),5.89
2024-02-27 12:50:00,CIERRE RUNNER (Trailing),2.54
2024-02-27 23:38:00,CIERRE RUNNER (Trailing),2.75
2024-02-28 10:20:00,CIERRE RUNNER (Trailing),2.24
2024-02-28 17:24:00,CIERRE RUNNER (Trailing),3.05
2024-02-28 18:19:00,STOP LOSS 2%,-2.0
2024-02-29 06:33:00,CIERRE RUNNER (Trailing),2.29
2024-03-02 01:22:00,CIERRE RUNNER (Trailing),3.13
2024-03-05 19:17:00,STOP LOSS 2%,-2.0
2024-03-08 13:44:00,CIERRE RUNNER (Trailing),5.05
2024-03-09 12:12:00,CIERRE RUNNER (Trailing),2.34
2024-03-12 08:14:00,STOP LOSS 2%,-2.0
2024-03-12 12:24:00,STOP LOSS 2%,-2.0
2024-03-12 15:00:00,STOP LOSS 2%,-2.0
2024-03-12 16:25:00,STOP LOSS 2%,-2.0
2024-03-13 00:25:00,CIERRE RUNNER (Trailing),2.59
2024-03-14 04:50:00,STOP LOSS 2%,-2.0
2024-03-14 11:07:00,STOP LOSS 2%,-2.0
2024-03-18 04:02:00,CIERRE RUNNER (Trailing),3.0
2024-03-18 14:52:00,STOP LOSS 2%,-2.0
2024-03-18 17:03:00,STOP LOSS 2%,-2.0
2024-03-19 00:53:00,STOP LOSS 2%,-2.0
2024-03-22 10:54:00,STOP LOSS 2%,-2.0
2024-03-25 17:46:00,CIERRE RUNNER (Trailing),3.85
2024-03-26 07:52:00,CIERRE RUNNER (Trailing),2.62
2024-03-27 02:05:00,CIERRE RUNNER (Trailing),2.58
2024-03-27 07:52:00,STOP LOSS 2%,-2.0
2024-03-27 14:02:00,STOP LOSS 2%,-2.0
2024-03-30 21:51:00,STOP LOSS 2%,-2.0
2024-04-01 05:48:00,STOP LOSS 2%,-2.0
2024-04-01 14:04:00,CIERRE RUNNER (Trailing),3.16
2024-04-01 16:01:00,STOP LOSS 2%,-2.0
2024-04-01 23:38:00,CIERRE RUNNER (Trailing),2.55
2024-04-02 02:26:00,STOP LOSS 2%,-2.0
2024-04-05 02:36:00,STOP LOSS 2%,-2.0
2024-04-08 11:19:00,CIERRE RUNNER (Trailing),3.6
2024-04-09 11:19:00,CIERRE RUNNER (Trailing),3.03
2024-04-10 01:24:00,STOP LOSS 2%,-2.0
2024-04-11 04:38:00,STOP LOSS 2%,-2.0
2024-04-15 06:49:00,CIERRE RUNNER (Trailing),4.89
2024-04-15 17:25:00,STOP LOSS 2%,-2.0
2024-04-15 20:50:00,STOP LOSS 2%,-2.0
2024-04-16 00:26:00,STOP LOSS 2%,-2.0
2024-04-17 11:36:00,STOP LOSS 2%,-2.0
2024-04-17 14:06:00,STOP LOSS 2%,-2.0
2024-04-17 20:54:00,STOP LOSS 2%,-2.0
2024-04-17 23:26:00,STOP LOSS 2%,-2.0
2024-04-19 01:14:00,STOP LOSS 2%,-2.0
2024-04-19 07:14:00,CIERRE RUNNER (Trailing),3.1
2024-04-20 18:22:00,CIERRE RUNNER (Trailing),7.52
2024-04-24 14:30:00,STOP LOSS 2%,-2.0
2024-04-26 10:51:00,STOP LOSS 2%,-2.0
2024-04-27 00:44:00,STOP LOSS 2%,-2.0
2024-05-02 13:11:00,CIERRE RUNNER (Trailing),2.44
2024-05-04 02:02:00,CIERRE RUNNER (Trailing),4.99
2024-05-06 08:55:00,CIERRE RUNNER (Trailing),2.43
2024-05-06 19:15:00,STOP LOSS 2%,-2.0
2024-05-07 03:26:00,STOP LOSS 2%,-2.0
2024-05-08 06:24:00,STOP LOSS 2%,-2.0
2024-05-08 20:19:00,STOP LOSS 2%,-2.0
2024-05-10 14:49:00,STOP LOSS 2%,-2.0
2024-05-13 02:34:00,STOP LOSS 2%,-2.0
2024-05-13 10:04:00,CIERRE RUNNER (Trailing),2.61
2024-05-14 02:06:00,STOP LOSS 2%,-2.0
2024-05-17 08:30:00,CIERRE RUNNER (Trailing),3.62
2024-05-25 01:33:00,CIERRE RUNNER (Trailing),3.85
2024-05-27 02:45:00,CIERRE RUNNER (Trailing),3.56
2024-05-28 01:55:00,STOP LOSS 2%,-2.0
2024-06-07 12:40:00,STOP LOSS 2%,-2.0
2024-06-10 07:02:00,STOP LOSS 2%,-2.0
2024-06-10 20:13:00,STOP LOSS 2%,-2.0
2024-06-13 02:41:00,STOP LOSS 2%,-2.0
2024-06-21 00:17:00,STOP LOSS 2%,-2.0
2024-06-26 21:30:00,CIERRE RUNNER (Trailing),2.46
2024-06-27 15:00:00,STOP LOSS 2%,-2.0
2024-06-28 13:04:00,CIERRE RUNNER (Trailing),2.7
2024-07-02 14:35:00,STOP LOSS 2%,-2.0
2024-07-10 07:23:00,CIERRE RUNNER (Trailing),2.68
2024-07-11 14:15:00,CIERRE RUNNER (Trailing),6.72
2024-07-12 16:45:00,CIERRE RUNNER (Trailing),3.57
2024-07-16 06:58:00,STOP LOSS 2%,-2.0
2024-07-19 01:19:00,STOP LOSS 2%,-2.0
2024-07-19 21:44:00,CIERRE RUNNER (Trailing),2.57
2024-07-24 05:22:00,STOP LOSS 2%,-2.0
2024-07-24 18:42:00,STOP LOSS 2%,-2.0
2024-07-31 01:23:00,CIERRE RUNNER (Trailing),2.45
2024-07-31 14:23:00,CIERRE RUNNER (Trailing),2.82
2024-08-01 02:29:00,STOP LOSS 2%,-2.0
2024-08-01 11:30:00,CIERRE RUNNER (Trailing),5.65
2024-08-01 18:38:00,STOP LOSS 2%,-2.0
2024-08-01 21:20:00,CIERRE RUNNER (Trailing),6.0
2024-08-02 05:34:00,CIERRE RUNNER (Trailing),2.25
2024-08-02 14:44:00,STOP LOSS 2%,-2.0
2024-08-07 01:11:00,STOP LOSS 2%,-2.0
2024-08-07 03:13:00,CIERRE RUNNER (Trailing),2.23
2024-08-07 11:19:00,STOP LOSS 2%,-2.0
2024-08-07 14:20:00,STOP LOSS 2%,-2.0
2024-08-07 16:37:00,STOP LOSS 2%,-2.0
2024-08-09 01:04:00,STOP LOSS 2%,-2.0
2024-08-09 04:52:00,STOP LOSS 2%,-2.0
2024-08-14 00:22:00,CIERRE RUNNER (Trailing),2.81
2024-08-14 11:03:00,CIERRE RUNNER (Trailing),2.56
2024-08-16 13:24:00,CIERRE RUNNER (Trailing),3.06
2024-08-16 16:03:00,STOP LOSS 2%,-2.0
2024-08-16 19:56:00,CIERRE RUNNER (Trailing),5.36
2024-08-19 13:46:00,STOP LOSS 2%,-2.0
2024-08-19 18:00:00,CIERRE RUNNER (Trailing),3.44
2024-08-22 08:52:00,STOP LOSS 2%,-2.0
2024-08-23 02:48:00,STOP LOSS 2%,-2.0
