direccion,p0_ts,p0_precio,p1_ts,p1_precio,p2_ts,p2_precio,p3_ts,p3_precio,p4_ts,p4_precio,p5_ts,p5_precio,fibo_w2,fibo_w3,fibo_w4
ALCISTA,2024-01-25 17:00:00,86.83,2024-01-26 02:00:00,89.24,2024-01-26 08:00:00,87.44,2024-01-27 01:00:00,92.09,2024-01-27 07:00:00,90.23,2024-01-28 05:00:00,93.45,0.747,1.929,0.4
BAJISTA,2024-03-17 22:00:00,129.67,2024-03-18 01:00:00,123.0,2024-03-18 05:00:00,129.58,2024-03-19 09:00:00,108.0,2024-03-19 19:00:00,117.12,2024-03-20 05:00:00,105.0,0.987,3.235,0.423
ALCISTA,2024-03-20 05:00:00,105.0,2024-03-20 12:00:00,115.1,2024-03-20 16:00:00,107.46,2024-03-21 17:00:00,124.97,2024-03-21 18:00:00,118.01,2024-03-22 06:00:00,125.24,0.756,1.734,0.397
ALCISTA,2024-04-06 13:00:00,114.61,2024-04-06 17:00:00,121.57,2024-04-06 20:00:00,116.4,2024-04-09 00:00:00,130.12,2024-04-09 08:00:00,126.1,2024-04-09 13:00:00,134.08,0.743,1.971,0.293
BAJISTA,2024-04-11 01:00:00,132.94,2024-04-11 16:00:00,115.52,2024-04-12 04:00:00,120.15,2024-04-12 18:00:00,86.53,2024-04-12 23:00:00,100.9,2024-04-13 20:00:00,67.07,0.266,1.93,0.427
ALCISTA,2024-04-19 02:00:00,78.57,2024-04-19 06:00:00,88.87,2024-04-19 23:00:00,84.09,2024-04-21 03:00:00,93.2,2024-04-21 16:00:00,89.01,2024-04-23 01:00:00,97.4,0.464,0.884,0.46
BAJISTA,2024-04-28 07:00:00,93.23,2024-04-28 11:00:00,90.64,2024-04-28 18:00:00,92.55,2024-04-29 13:00:00,86.64,2024-04-30 00:00:00,90.35,2024-04-30 19:00:00,80.66,0.737,2.282,0.628
BAJISTA,2024-04-28 18:00:00,92.55,2024-04-29 13:00:00,86.64,2024-04-30 00:00:00,90.35,2024-04-30 19:00:00,80.66,2024-05-01 05:00:00,83.78,2024-05-01 08:00:00,78.45,0.628,1.64,0.322
ALCISTA,2024-05-01 08:00:00,78.45,2024-05-03 02:00:00,86.42,2024-05-03 10:00:00,83.52,2024-05-04 01:00:00,89.55,2024-05-04 08:00:00,87.62,2024-05-04 11:00:00,89.92,0.364,0.757,0.32
ALCISTA,2024-07-08 01:00:00,75.39,2024-07-08 09:00:00,84.15,2024-07-08 14:00:00,79.1,2024-07-11 14:00:00,95.9,2024-07-12 01:00:00,91.86,2024-07-13 07:00:00,98.78,0.576,1.918,0.24
