2026-04-07 18:46:01 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.7 | PRECIO: 94.02 | NOTAS: Estrategia MTF
2026-04-07 18:46:02 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.7 | PRECIO: 95.9 | NOTAS: Estrategia MTF
2026-04-07 18:46:02 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.7 | PRECIO: 90.26 | NOTAS: Estrategia MTF
2026-04-07 18:46:10 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.5 | PRECIO: 94.02 | NOTAS: Estrategia MTF
2026-04-07 18:46:11 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 95.9 | NOTAS: Estrategia MTF
2026-04-07 18:46:11 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 90.26 | NOTAS: Estrategia MTF
2026-04-07 18:46:19 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.5 | PRECIO: 94.02 | NOTAS: Estrategia MTF
2026-04-07 18:46:19 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 95.9 | NOTAS: Estrategia MTF
2026-04-07 18:46:19 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 90.26 | NOTAS: Estrategia MTF
2026-04-07 18:46:26 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.5 | PRECIO: 94.03 | NOTAS: Estrategia MTF
2026-04-07 18:46:26 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 95.91 | NOTAS: Estrategia MTF
2026-04-07 18:46:27 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 90.27 | NOTAS: Estrategia MTF
2026-04-07 18:46:35 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.5 | PRECIO: 94.03 | NOTAS: Estrategia MTF
2026-04-07 18:46:36 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 95.91 | NOTAS: Estrategia MTF
2026-04-07 18:46:36 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 90.27 | NOTAS: Estrategia MTF
2026-04-07 18:46:44 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.5 | PRECIO: 94.03 | NOTAS: Estrategia MTF
2026-04-07 18:46:44 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 95.91 | NOTAS: Estrategia MTF
2026-04-07 18:46:44 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 90.27 | NOTAS: Estrategia MTF
2026-04-07 18:46:52 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 132.5 | PRECIO: 94.04 | NOTAS: Estrategia MTF
2026-04-07 18:46:52 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 95.92 | NOTAS: Estrategia MTF
2026-04-07 18:46:52 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 132.5 | PRECIO: 90.28 | NOTAS: Estrategia MTF
2026-04-07 18:57:33 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.8 | PRECIO: 94.55 | NOTAS: Estrategia MTF
2026-04-07 18:57:33 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.8 | PRECIO: 96.44 | NOTAS: Estrategia MTF
2026-04-07 18:57:33 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.8 | PRECIO: 90.77 | NOTAS: Estrategia MTF
2026-04-07 18:57:41 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.8 | PRECIO: 94.57 | NOTAS: Estrategia MTF
2026-04-07 18:57:41 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.8 | PRECIO: 96.46 | NOTAS: Estrategia MTF
2026-04-07 18:57:41 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.8 | PRECIO: 90.79 | NOTAS: Estrategia MTF
2026-04-07 18:57:49 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.7 | PRECIO: 94.64 | NOTAS: Estrategia MTF
2026-04-07 18:57:50 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 96.53 | NOTAS: Estrategia MTF
2026-04-07 18:57:50 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 90.85 | NOTAS: Estrategia MTF
2026-04-07 18:57:57 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.7 | PRECIO: 94.64 | NOTAS: Estrategia MTF
2026-04-07 18:57:58 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 96.53 | NOTAS: Estrategia MTF
2026-04-07 18:57:58 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 90.85 | NOTAS: Estrategia MTF
2026-04-07 18:58:05 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.7 | PRECIO: 94.61 | NOTAS: Estrategia MTF
2026-04-07 18:58:06 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 96.5 | NOTAS: Estrategia MTF
2026-04-07 18:58:06 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 90.83 | NOTAS: Estrategia MTF
