2026-04-07 19:11:57 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:04 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:11 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:19 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:26 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:33 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:42 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:50 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:12:58 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:13:05 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:13:13 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:13:21 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:13:28 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
2026-04-07 19:13:36 | [ERROR] | MÓDULO: Disparador MTF | DETALLE: APIError(code=-4045): Reach max stop order limit.
